Año,Mes,Mes_nombre,Inflacion_mensual_%,Inflacion_interanual_12_meses_%,Inflacion_anual_calendario_%
2000,1,Enero,0.07,3.78,3.73
2000,2,Febrero,0.48,3.95,3.73
2000,3,Marzo,0.54,3.88,3.73
2000,4,Abril,0.51,3.8,3.73
2000,5,Mayo,0.02,3.33,3.73
2000,6,Junio,0.06,3.21,3.73
2000,7,Julio,0.52,3.47,3.73
2000,8,Agosto,0.47,3.78,3.73
2000,9,Septiembre,0.56,3.88,3.73
2000,10,Octubre,0.23,4.25,3.73
2000,11,Noviembre,0.06,4.02,3.73
2000,12,Diciembre,0.15,3.73,3.73
2001,1,Enero,0.19,3.86,-0.13
2001,2,Febrero,0.25,3.61,-0.13
2001,3,Marzo,0.51,3.58,-0.13
2001,4,Abril,-0.42,2.62,-0.13
2001,5,Mayo,0.02,2.63,-0.13
2001,6,Junio,-0.06,2.51,-0.13
2001,7,Julio,0.17,2.16,-0.13
2001,8,Agosto,-0.3,1.37,-0.13
2001,9,Septiembre,0.06,0.87,-0.13
2001,10,Octubre,0.04,0.68,-0.13
2001,11,Noviembre,-0.49,0.12,-0.13
2001,12,Diciembre,-0.09,-0.13,-0.13
2002,1,Enero,-0.52,-0.83,1.52
2002,2,Febrero,-0.04,-1.11,1.52
2002,3,Marzo,0.54,-1.08,1.52
2002,4,Abril,0.73,0.05,1.52
2002,5,Mayo,0.14,0.17,1.52
2002,6,Junio,-0.23,-0.0,1.52
2002,7,Julio,0.03,-0.14,1.52
2002,8,Agosto,0.1,0.26,1.52
2002,9,Septiembre,0.47,0.68,1.52
2002,10,Octubre,0.72,1.36,1.52
2002,11,Noviembre,-0.4,1.46,1.52
2002,12,Diciembre,-0.03,1.52,1.52
2003,1,Enero,0.23,2.28,2.48
2003,2,Febrero,0.47,2.8,2.48
2003,3,Marzo,1.12,3.39,2.48
2003,4,Abril,-0.05,2.59,2.48
2003,5,Mayo,-0.03,2.42,2.48
2003,6,Junio,-0.47,2.17,2.48
2003,7,Julio,-0.15,1.98,2.48
2003,8,Agosto,0.01,1.89,2.48
2003,9,Septiembre,0.56,1.98,2.48
2003,10,Octubre,0.05,1.3,2.48
2003,11,Noviembre,0.17,1.88,2.48
2003,12,Diciembre,0.56,2.48,2.48
2004,1,Enero,0.54,2.8,3.48
2004,2,Febrero,1.09,3.43,3.48
2004,3,Marzo,0.46,2.76,3.48
2004,4,Abril,-0.02,2.78,3.48
2004,5,Mayo,0.35,3.18,3.48
2004,6,Junio,0.56,4.26,3.48
2004,7,Julio,0.19,4.61,3.48
2004,8,Agosto,-0.01,4.59,3.48
2004,9,Septiembre,0.02,4.03,3.48
2004,10,Octubre,-0.02,3.95,3.48
2004,11,Noviembre,0.29,4.07,3.48
2004,12,Diciembre,-0.01,3.48,3.48
2005,1,Enero,0.1,3.03,1.49
2005,2,Febrero,-0.23,1.68,1.49
2005,3,Marzo,0.65,1.88,1.49
2005,4,Abril,0.12,2.02,1.49
2005,5,Mayo,0.13,1.79,1.49
2005,6,Junio,0.26,1.49,1.49
2005,7,Julio,0.1,1.4,1.49
2005,8,Agosto,-0.18,1.22,1.49
2005,9,Septiembre,-0.09,1.11,1.49
2005,10,Octubre,0.14,1.28,1.49
2005,11,Noviembre,0.07,1.06,1.49
2005,12,Diciembre,0.42,1.49,1.49
2006,1,Enero,0.5,1.9,1.14
2006,2,Febrero,0.55,2.7,1.14
2006,3,Marzo,0.46,2.5,1.14
2006,4,Abril,0.51,2.9,1.14
2006,5,Mayo,-0.53,2.23,1.14
2006,6,Junio,-0.13,1.83,1.14
2006,7,Julio,-0.17,1.55,1.14
2006,8,Agosto,0.14,1.87,1.14
2006,9,Septiembre,0.03,1.99,1.14
2006,10,Octubre,0.04,1.89,1.14
2006,11,Noviembre,-0.28,1.54,1.14
2006,12,Diciembre,0.03,1.14,1.14
2007,1,Enero,0.01,0.64,3.93
2007,2,Febrero,0.26,0.36,3.93
2007,3,Marzo,0.35,0.25,3.93
2007,4,Abril,0.18,-0.08,3.93
2007,5,Mayo,0.49,0.94,3.93
2007,6,Junio,0.47,1.55,3.93
2007,7,Julio,0.48,2.21,3.93
2007,8,Agosto,0.14,2.2,3.93
2007,9,Septiembre,0.61,2.8,3.93
2007,10,Octubre,0.31,3.08,3.93
2007,11,Noviembre,0.11,3.49,3.93
2007,12,Diciembre,0.45,3.93,3.93
2008,1,Enero,0.22,4.15,6.65
2008,2,Febrero,0.91,4.82,6.65
2008,3,Marzo,1.04,5.55,6.65
2008,4,Abril,0.15,5.52,6.65
2008,5,Mayo,0.37,5.39,6.65
2008,6,Junio,0.77,5.71,6.65
2008,7,Julio,0.56,5.79,6.65
2008,8,Agosto,0.59,6.27,6.65
2008,9,Septiembre,0.57,6.22,6.65
2008,10,Octubre,0.61,6.54,6.65
2008,11,Noviembre,0.31,6.75,6.65
2008,12,Diciembre,0.36,6.65,6.65
2009,1,Enero,0.11,6.53,0.25
2009,2,Febrero,-0.07,5.49,0.25
2009,3,Marzo,0.36,4.78,0.25
2009,4,Abril,0.02,4.64,0.25
2009,5,Mayo,-0.04,4.21,0.25
2009,6,Junio,-0.34,3.06,0.25
2009,7,Julio,0.19,2.68,0.25
2009,8,Agosto,-0.21,1.87,0.25
2009,9,Septiembre,-0.09,1.2,0.25
2009,10,Octubre,0.12,0.71,0.25
2009,11,Noviembre,-0.11,0.29,0.25
2009,12,Diciembre,0.32,0.25,0.25
2010,1,Enero,0.3,0.44,2.08
2010,2,Febrero,0.32,0.84,2.08
2010,3,Marzo,0.28,0.76,2.08
2010,4,Abril,0.03,0.76,2.08
2010,5,Mayo,0.24,1.04,2.08
2010,6,Junio,0.25,1.64,2.08
2010,7,Julio,0.36,1.82,2.08
2010,8,Agosto,0.27,2.31,2.08
2010,9,Septiembre,-0.03,2.37,2.08
2010,10,Octubre,-0.14,2.1,2.08
2010,11,Noviembre,0.01,2.22,2.08
2010,12,Diciembre,0.18,2.08,2.08
2011,1,Enero,0.39,2.17,4.74
2011,2,Febrero,0.38,2.23,4.74
2011,3,Marzo,0.7,2.66,4.74
2011,4,Abril,0.68,3.34,4.74
2011,5,Mayo,-0.02,3.07,4.74
2011,6,Junio,0.1,2.91,4.74
2011,7,Julio,0.79,3.35,4.74
2011,8,Agosto,0.27,3.35,4.74
2011,9,Septiembre,0.33,3.73,4.74
2011,10,Octubre,0.31,4.2,4.74
2011,11,Noviembre,0.43,4.64,4.74
2011,12,Diciembre,0.27,4.74,4.74
2012,1,Enero,-0.1,4.23,2.65
2012,2,Febrero,0.32,4.17,2.65
2012,3,Marzo,0.77,4.23,2.65
2012,4,Abril,0.53,4.08,2.65
2012,5,Mayo,0.04,4.14,2.65
2012,6,Junio,-0.04,4.0,2.65
2012,7,Julio,0.09,3.28,2.65
2012,8,Agosto,0.51,3.53,2.65
2012,9,Septiembre,0.54,3.74,2.65
2012,10,Octubre,-0.16,3.25,2.65
2012,11,Noviembre,-0.14,2.66,2.65
2012,12,Diciembre,0.26,2.65,2.65
2013,1,Enero,0.12,2.87,2.86
2013,2,Febrero,-0.09,2.45,2.86
2013,3,Marzo,0.91,2.59,2.86
2013,4,Abril,0.25,2.31,2.86
2013,5,Mayo,0.19,2.46,2.86
2013,6,Junio,0.26,2.77,2.86
2013,7,Julio,0.55,3.24,2.86
2013,8,Agosto,0.54,3.28,2.86
2013,9,Septiembre,0.11,2.83,2.86
2013,10,Octubre,0.04,3.04,2.86
2013,11,Noviembre,-0.22,2.96,2.86
2013,12,Diciembre,0.17,2.86,2.86
2014,1,Enero,0.32,3.07,3.22
2014,2,Febrero,0.6,3.78,3.22
2014,3,Marzo,0.52,3.38,3.22
2014,4,Abril,0.39,3.52,3.22
2014,5,Mayo,0.23,3.56,3.22
2014,6,Junio,0.16,3.45,3.22
2014,7,Julio,0.43,3.33,3.22
2014,8,Agosto,-0.09,2.69,3.22
2014,9,Septiembre,0.16,2.74,3.22
2014,10,Octubre,0.38,3.09,3.22
2014,11,Noviembre,-0.15,3.16,3.22
2014,12,Diciembre,0.23,3.22,3.22
2015,1,Enero,0.17,3.07,4.4
2015,2,Febrero,0.3,2.77,4.4
2015,3,Marzo,0.76,3.02,4.4
2015,4,Abril,0.39,3.02,4.4
2015,5,Mayo,0.56,3.37,4.4
2015,6,Junio,0.33,3.54,4.4
2015,7,Julio,0.45,3.56,4.4
2015,8,Agosto,0.38,4.04,4.4
2015,9,Septiembre,0.03,3.9,4.4
2015,10,Octubre,0.14,3.66,4.4
2015,11,Noviembre,0.34,4.17,4.4
2015,12,Diciembre,0.45,4.4,4.4
2016,1,Enero,0.37,4.61,3.23
2016,2,Febrero,0.17,4.47,3.23
2016,3,Marzo,0.6,4.3,3.23
2016,4,Abril,0.01,3.91,3.23
2016,5,Mayo,0.21,3.54,3.23
2016,6,Junio,0.14,3.34,3.23
2016,7,Julio,0.08,2.96,3.23
2016,8,Agosto,0.36,2.94,3.23
2016,9,Septiembre,0.21,3.13,3.23
2016,10,Octubre,0.41,3.41,3.23
2016,11,Noviembre,0.29,3.35,3.23
2016,12,Diciembre,0.33,3.23,3.23
2017,1,Enero,0.24,3.1,1.36
2017,2,Febrero,0.32,3.25,1.36
2017,3,Marzo,1.3,3.97,1.36
2017,4,Abril,-0.26,3.69,1.36
2017,5,Mayo,-0.42,3.04,1.36
2017,6,Junio,-0.16,2.73,1.36
2017,7,Julio,0.2,2.85,1.36
2017,8,Agosto,0.67,3.17,1.36
2017,9,Septiembre,-0.02,2.94,1.36
2017,10,Octubre,-0.47,2.04,1.36
2017,11,Noviembre,-0.2,1.54,1.36
2017,12,Diciembre,0.16,1.36,1.36
2018,1,Enero,0.13,1.25,2.19
2018,2,Febrero,0.25,1.18,2.19
2018,3,Marzo,0.49,0.36,2.19
2018,4,Abril,-0.14,0.48,2.19
2018,5,Mayo,0.02,0.93,2.19
2018,6,Junio,0.33,1.43,2.19
2018,7,Julio,0.38,1.62,2.19
2018,8,Agosto,0.13,1.07,2.19
2018,9,Septiembre,0.19,1.28,2.19
2018,10,Octubre,0.08,1.84,2.19
2018,11,Noviembre,0.12,2.17,2.19
2018,12,Diciembre,0.18,2.19,2.19
2019,1,Enero,0.07,2.13,1.9
2019,2,Febrero,0.13,2.0,1.9
2019,3,Marzo,0.73,2.25,1.9
2019,4,Abril,0.2,2.59,1.9
2019,5,Mayo,0.15,2.73,1.9
2019,6,Junio,-0.09,2.29,1.9
2019,7,Julio,0.2,2.11,1.9
2019,8,Agosto,0.06,2.04,1.9
2019,9,Septiembre,0.01,1.85,1.9
2019,10,Octubre,0.11,1.88,1.9
2019,11,Noviembre,0.11,1.87,1.9
2019,12,Diciembre,0.21,1.9,1.9
2020,1,Enero,0.05,1.89,1.97
2020,2,Febrero,0.14,1.9,1.97
2020,3,Marzo,0.65,1.82,1.97
2020,4,Abril,0.1,1.72,1.97
2020,5,Mayo,0.2,1.78,1.97
2020,6,Junio,-0.27,1.6,1.97
2020,7,Julio,0.46,1.86,1.97
2020,8,Agosto,-0.11,1.69,1.97
2020,9,Septiembre,0.14,1.82,1.97
2020,10,Octubre,0.02,1.72,1.97
2020,11,Noviembre,0.52,2.14,1.97
2020,12,Diciembre,0.05,1.97,1.97
2021,1,Enero,0.74,2.68,6.43
2021,2,Febrero,-0.13,2.4,6.43
2021,3,Marzo,0.84,2.6,6.43
2021,4,Abril,-0.1,2.38,6.43
2021,5,Mayo,0.27,2.45,6.43
2021,6,Junio,0.52,3.25,6.43
2021,7,Julio,1.01,3.81,6.43
2021,8,Agosto,0.98,4.95,6.43
2021,9,Septiembre,0.4,5.23,6.43
2021,10,Octubre,0.58,5.83,6.43
2021,11,Noviembre,0.36,5.66,6.43
2021,12,Diciembre,0.78,6.43,6.43
2022,1,Enero,0.04,5.68,8.46
2022,2,Febrero,0.31,6.15,8.46
2022,3,Marzo,1.48,6.82,8.46
2022,4,Abril,0.96,7.96,8.46
2022,5,Mayo,0.38,8.09,8.46
2022,6,Junio,1.19,8.81,8.46
2022,7,Julio,0.94,8.74,8.46
2022,8,Agosto,0.67,8.4,8.46
2022,9,Septiembre,0.52,8.53,8.46
2022,10,Octubre,0.35,8.28,8.46
2022,11,Noviembre,0.52,8.45,8.46
2022,12,Diciembre,0.79,8.46,8.46
2023,1,Enero,0.23,8.66,3.24
2023,2,Febrero,0.29,8.65,3.24
2023,3,Marzo,1.25,8.4,3.24
2023,4,Abril,0.56,7.97,3.24
2023,5,Mayo,0.32,7.89,3.24
2023,6,Junio,-0.15,6.46,3.24
2023,7,Julio,0.39,5.88,3.24
2023,8,Agosto,0.38,5.58,3.24
2023,9,Septiembre,0.02,5.04,3.24
2023,10,Octubre,-0.32,4.34,3.24
2023,11,Noviembre,-0.16,3.64,3.24
2023,12,Diciembre,0.41,3.24,3.24
2024,1,Enero,0.02,3.02,1.97
2024,2,Febrero,0.56,3.29,1.97
2024,3,Marzo,1.01,3.05,1.97
2024,4,Abril,-0.05,2.42,1.97
2024,5,Mayo,-0.09,2.0,1.97
2024,6,Junio,0.12,2.29,1.97
2024,7,Julio,0.24,2.13,1.97
2024,8,Agosto,0.28,2.03,1.97
2024,9,Septiembre,-0.24,1.78,1.97
2024,10,Octubre,-0.09,2.01,1.97
2024,11,Noviembre,0.09,2.27,1.97
2024,12,Diciembre,0.11,1.97,1.97
2025,1,Enero,-0.09,1.85,1.51
2025,2,Febrero,0.19,1.48,1.51
2025,3,Marzo,0.81,1.28,1.51
2025,4,Abril,0.32,1.65,1.51
2025,5,Mayo,-0.06,1.69,1.51
2025,6,Junio,0.13,1.69,1.51
2025,7,Julio,0.23,1.69,1.51
2025,8,Agosto,-0.29,1.11,1.51
2025,9,Septiembre,0.01,1.36,1.51
2025,10,Octubre,-0.1,1.35,1.51
2025,11,Noviembre,0.11,1.37,1.51
2025,12,Diciembre,0.24,1.51,1.51
2026,1,Enero,0.1,1.7,
2026,2,Febrero,0.69,2.21,
2026,3,Marzo,2.38,3.8,
2026,4,Abril,0.52,4.01,
2026,5,Mayo,-0.16,3.91,
2026,6,Junio,0.23,4.01,
2026,7,Julio,0.29,4.07,
2026,8,Agosto,0.07,4.44,
2026,9,Septiembre,,,
2026,10,Octubre,,,
2026,11,Noviembre,,,
2026,12,Diciembre,,,
